"time";"open";"high";"low";"close";"volume";"timestr"
"1772634900000";"5837,6";"5848,6";"5833,6";"5847,6";"167";"2026-03-04 15:35:00"
"1772635200000";"5848,6";"5855,6";"5846,6";"5853,6";"142";"2026-03-04 15:40:00"
"1772635500000";"5854,6";"5857,6";"5849,6";"5856,6";"161";"2026-03-04 15:45:00"
"1772635800000";"5855,6";"5858,6";"5852,6";"5852,6";"102";"2026-03-04 15:50:00"
"1772636100000";"5851,6";"5861,6";"5850,6";"5861,6";"82";"2026-03-04 15:55:00"
"1772636400000";"5860,6";"5873,6";"5860,6";"5872,6";"185";"2026-03-04 16:00:00"
"1772636700000";"5872,1";"5886,6";"5872,1";"5883,6";"147";"2026-03-04 16:05:00"
"1772637000000";"5884,6";"5887,6";"5879,6";"5885,6";"194";"2026-03-04 16:10:00"
"1772637300000";"5886,1";"5886,6";"5876,6";"5879,6";"183";"2026-03-04 16:15:00"
"1772637600000";"5879,1";"5879,6";"5873,6";"5877,6";"137";"2026-03-04 16:20:00"
"1772637900000";"5878,6";"5880,6";"5875,6";"5879,6";"134";"2026-03-04 16:25:00"
"1772638200000";"5880,6";"5881,6";"5876,1";"5879,6";"217";"2026-03-04 16:30:00"
"1772638500000";"5879,1";"5884,6";"5878,6";"5880,6";"135";"2026-03-04 16:35:00"
"1772638800000";"5881,1";"5885,6";"5878,6";"5884,6";"149";"2026-03-04 16:40:00"
"1772639100000";"5883,6";"5885,6";"5880,6";"5883,6";"110";"2026-03-04 16:45:00"
"1772639400000";"5884,6";"5884,6";"5871,6";"5872,6";"186";"2026-03-04 16:50:00"
"1772639700000";"5871,6";"5879,6";"5865,6";"5877,6";"198";"2026-03-04 16:55:00"
"1772640000000";"5877,1";"5878,1";"5869,6";"5874,6";"165";"2026-03-04 17:00:00"
"1772640300000";"5873,6";"5876,6";"5865,6";"5869,6";"145";"2026-03-04 17:05:00"
"1772640600000";"5868,6";"5870,6";"5865,6";"5870,6";"122";"2026-03-04 17:10:00"
"1772640900000";"5869,6";"5875,6";"5868,6";"5873,6";"94";"2026-03-04 17:15:00"
"1772641200000";"5872,6";"5876,6";"5869,6";"5869,6";"135";"2026-03-04 17:20:00"
"1772641500000";"5868,6";"5872,6";"5865,6";"5865,6";"170";"2026-03-04 17:25:00"
"1772641800000";"5866,6";"5872,6";"5863,6";"5868,6";"632";"2026-03-04 17:30:00"
"1772642100000";"5869,6";"5869,6";"5843,6";"5855,6";"824";"2026-03-04 17:35:00"
"1772642400000";"5854,6";"5856,6";"5847,6";"5854,6";"453";"2026-03-04 17:40:00"
