"time";"open";"high";"low";"close";"volume";"timestr"
"1772709900000";"25135,4";"25140,0";"25086,9";"25094,7";"2236";"2026-03-05 12:25:00"
"1772710200000";"25094,0";"25102,4";"25080,1";"25102,4";"2018";"2026-03-05 12:30:00"
"1772710500000";"25103,1";"25111,5";"25059,6";"25060,9";"2087";"2026-03-05 12:35:00"
"1772710800000";"25060,2";"25079,7";"25053,9";"25057,1";"2053";"2026-03-05 12:40:00"
"1772711100000";"25057,2";"25077,6";"25051,7";"25076,7";"1907";"2026-03-05 12:45:00"
"1772711400000";"25076,5";"25082,5";"25047,6";"25048,7";"1860";"2026-03-05 12:50:00"
"1772711700000";"25048,7";"25088,7";"25048,2";"25079,4";"1738";"2026-03-05 12:55:00"
"1772712000000";"25080,1";"25087,9";"25054,6";"25070,5";"1750";"2026-03-05 13:00:00"
"1772712300000";"25070,7";"25096,1";"25067,7";"25079,2";"1816";"2026-03-05 13:05:00"
"1772712600000";"25079,7";"25094,1";"25078,7";"25081,9";"1549";"2026-03-05 13:10:00"
"1772712900000";"25083,2";"25102,4";"25082,9";"25091,2";"1571";"2026-03-05 13:15:00"
"1772713200000";"25090,7";"25107,7";"25078,6";"25093,0";"1606";"2026-03-05 13:20:00"
"1772713500000";"25092,0";"25102,7";"25079,7";"25100,6";"1597";"2026-03-05 13:25:00"
"1772733300000";"25042,5";"25051,5";"25015,7";"25047,5";"2365";"2026-03-05 18:55:00"
"1772733600000";"25046,2";"25055,8";"24993,0";"24995,5";"2346";"2026-03-05 19:00:00"
"1772733900000";"24997,2";"25017,9";"24963,8";"24964,5";"2340";"2026-03-05 19:05:00"
"1772734200000";"24963,5";"24979,8";"24922,8";"24952,2";"2426";"2026-03-05 19:10:00"
"1772734500000";"24950,8";"24965,0";"24908,2";"24910,0";"2389";"2026-03-05 19:15:00"
"1772734800000";"24909,5";"24976,8";"24909,3";"24953,9";"2350";"2026-03-05 19:20:00"
"1772735100000";"24952,4";"24973,3";"24932,5";"24934,3";"2360";"2026-03-05 19:25:00"
"1772735400000";"24935,8";"24997,7";"24934,2";"24970,5";"2436";"2026-03-05 19:30:00"
"1772735700000";"24969,5";"25002,8";"24960,5";"24986,5";"2413";"2026-03-05 19:35:00"
"1772736000000";"24986,9";"25005,5";"24956,8";"24972,2";"2388";"2026-03-05 19:40:00"
"1772736300000";"24973,4";"25019,9";"24972,5";"24993,0";"2399";"2026-03-05 19:45:00"
"1772736600000";"24992,8";"25006,9";"24976,0";"24993,2";"2344";"2026-03-05 19:50:00"
"1772736900000";"24993,3";"25014,4";"24989,5";"25009,5";"2350";"2026-03-05 19:55:00"
"1772737200000";"25009,0";"25078,8";"25002,3";"25076,9";"2324";"2026-03-05 20:00:00"
"1772737500000";"25074,9";"25088,9";"25010,7";"25011,7";"2356";"2026-03-05 20:05:00"
"1772737800000";"25010,5";"25021,8";"24973,5";"24999,3";"2340";"2026-03-05 20:10:00"
"1772738100000";"24999,0";"25000,4";"24921,7";"24930,0";"2365";"2026-03-05 20:15:00"
"1772738400000";"24930,8";"24952,8";"24906,9";"24941,5";"2373";"2026-03-05 20:20:00"
