SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-13 01:37:34 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-13 02:30:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-13 01:40:07 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-13 02:35:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-13 01:45:12 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-13 02:40:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-13 01:50:17 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-13 02:45:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-13 01:55:21 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-13 02:50:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-13 02:00:26 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-13 02:55:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-13 02:05:31 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-13 03:00:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-13 02:10:35 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-13 03:05:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-13 02:18:13 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-13 03:10:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-13 03:06:33 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-13 04:00:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-13 03:11:44 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-13 04:05:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-13 03:16:49 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-13 04:10:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-13 10:21:17 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-13 11:15:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-13 10:26:22 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-13 11:20:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-13 10:31:27 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-13 11:25:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-13 10:36:32 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-13 11:30:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-13 10:41:37 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-13 11:35:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-13 10:46:42 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-13 11:40:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-13 11:22:20 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-13 12:15:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-13 11:27:27 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-13 12:20:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-13 11:30:00 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-13 12:25:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-13 11:35:05 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-13 12:30:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-13 11:40:10 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-13 12:35:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-13 11:45:15 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-13 12:40:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-13 11:50:20 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-13 12:45:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-13 12:31:03 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-13 13:25:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-13 12:36:09 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-13 13:30:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-13 12:41:14 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-13 13:35:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-13 13:37:10 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-13 14:30:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-13 14:50:55 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-13 15:45:00
