SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-12 19:02:16 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-12 19:55:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-12 19:07:20 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-12 20:00:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-12 19:12:25 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-12 20:05:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-12 19:17:29 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-12 20:10:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-12 19:22:32 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-12 20:15:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-12 19:25:04 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-12 20:20:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-12 19:30:07 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-12 20:25:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-12 19:35:11 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-12 20:30:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-12 19:42:46 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-12 20:35:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-12 19:45:18 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-12 20:40:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-12 19:50:21 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-12 20:45:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-12 19:55:25 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-12 20:50:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-12 20:00:28 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-12 20:55:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-13 09:50:45 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-13 10:45:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-13 09:55:50 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-13 10:50:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-13 10:00:55 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-13 10:55:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-13 10:06:00 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-13 11:00:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-13 10:11:05 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-13 11:05:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-13 10:51:45 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-13 11:45:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-13 10:56:51 | sygnal=SELL | numer_scenariusza=SC5 | godzina_brokera=2026-05-13 11:50:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-13 11:01:56 | sygnal=SELL | numer_scenariusza=SC5 | godzina_brokera=2026-05-13 11:55:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-13 11:07:01 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-13 12:00:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-13 11:12:06 | sygnal=SELL | numer_scenariusza=SC5 | godzina_brokera=2026-05-13 12:05:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-13 11:17:12 | sygnal=SELL | numer_scenariusza=SC5 | godzina_brokera=2026-05-13 12:10:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-13 11:22:18 | sygnal=SELL | numer_scenariusza=SC5 | godzina_brokera=2026-05-13 12:15:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-13 11:27:24 | sygnal=SELL | numer_scenariusza=SC5 | godzina_brokera=2026-05-13 12:20:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-13 11:32:31 | sygnal=SELL | numer_scenariusza=SC5 | godzina_brokera=2026-05-13 12:25:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-13 11:35:03 | sygnal=SELL | numer_scenariusza=SC5 | godzina_brokera=2026-05-13 12:30:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-13 11:40:08 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-13 12:35:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-13 11:45:14 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-13 12:40:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-13 11:50:19 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-13 12:45:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-13 11:57:56 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-13 12:50:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-13 12:31:00 | sygnal=SELL | numer_scenariusza=SC5 | godzina_brokera=2026-05-13 13:25:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-13 12:36:06 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-13 13:30:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-13 12:41:12 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-13 13:35:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-13 13:26:58 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-13 14:20:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-13 13:32:02 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-13 14:25:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-13 14:07:40 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-13 15:00:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-13 14:50:53 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-13 15:45:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-13 14:55:58 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-13 15:50:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-13 15:01:04 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-13 15:55:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-13 15:46:52 | sygnal=BUY | numer_scenariusza=SC12 | godzina_brokera=2026-05-13 16:40:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-13 15:51:57 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-13 16:45:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-13 16:02:08 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-13 16:55:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-14 10:01:08 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-14 10:55:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-14 10:06:13 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-14 11:00:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-14 10:11:17 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-14 11:05:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-14 10:56:58 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-14 11:50:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-14 11:02:02 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-14 11:55:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-14 11:07:07 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-14 12:00:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-14 11:12:11 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-14 12:05:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-14 11:17:16 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-14 12:10:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-14 11:22:20 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-14 12:15:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-14 11:27:25 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-14 12:20:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-14 11:32:29 | sygnal=BUY | numer_scenariusza=SC10 | godzina_brokera=2026-05-14 12:25:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-14 11:35:01 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-14 12:30:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-14 12:05:29 | sygnal=BUY | numer_scenariusza=SC10 | godzina_brokera=2026-05-14 13:00:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-14 12:10:35 | sygnal=BUY | numer_scenariusza=SC10 | godzina_brokera=2026-05-14 13:05:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-14 12:15:39 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-14 13:10:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-14 12:20:44 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-14 13:15:00
