SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-29 22:51:35 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-04-29 23:45:00
SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-29 22:56:39 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-04-29 23:50:00
SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-30 00:02:16 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-04-29 23:55:00
SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-30 00:07:19 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-04-30 01:00:00
SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-30 04:45:04 | sygnal=SELL | numer_scenariusza=SC5 | godzina_brokera=2026-04-30 05:40:00
SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-30 04:50:07 | sygnal=SELL | numer_scenariusza=SC5 | godzina_brokera=2026-04-30 05:45:00
SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-30 04:55:10 | sygnal=SELL | numer_scenariusza=SC5 | godzina_brokera=2026-04-30 05:50:00
SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-30 05:15:23 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-04-30 06:10:00
SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-30 05:20:26 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-04-30 06:15:00
SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-30 05:25:30 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-04-30 06:20:00
SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-30 05:30:33 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-04-30 06:25:00
SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-30 05:35:36 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-04-30 06:30:00
SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-30 05:40:39 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-04-30 06:35:00
SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-30 05:45:42 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-04-30 06:40:00
SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-30 05:50:45 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-04-30 06:45:00
SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-30 05:55:49 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-04-30 06:50:00
SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-30 06:00:52 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-04-30 06:55:00
SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-30 06:05:55 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-04-30 07:00:00
SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-30 06:10:58 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-04-30 07:05:00
SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-30 06:16:01 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-04-30 07:10:00
SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-30 06:21:05 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-04-30 07:15:00
SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-30 06:26:08 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-04-30 07:20:00
SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-30 06:31:11 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-04-30 07:25:00
SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-30 06:36:14 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-04-30 07:30:00
SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-30 06:41:18 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-04-30 07:35:00
SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-30 06:46:21 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-04-30 07:40:00
SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-30 06:51:25 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-04-30 07:45:00
SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-30 06:56:28 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-04-30 07:50:00
SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-30 07:01:31 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-04-30 07:55:00
SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-30 07:06:35 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-04-30 08:00:00
SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-30 09:10:38 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-04-30 10:05:00
SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-30 09:15:42 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-04-30 10:10:00
SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-30 09:25:48 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-04-30 10:20:00
SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-30 09:30:52 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-04-30 10:25:00
SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-30 09:35:56 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-04-30 10:30:00
SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-30 09:40:59 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-04-30 10:35:00
SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-30 09:46:04 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-04-30 10:40:00
SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-30 09:51:07 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-04-30 10:45:00
SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-30 09:56:11 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-04-30 10:50:00
SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-30 11:37:33 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-04-30 12:30:00
SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-30 11:40:05 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-04-30 12:35:00
SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-30 11:45:10 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-04-30 12:40:00
SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-30 11:50:15 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-04-30 12:45:00
SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-30 11:55:19 | sygnal=BUY | numer_scenariusza=SC9 | godzina_brokera=2026-04-30 12:50:00
SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-30 12:00:23 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-04-30 12:55:00
SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-30 12:05:28 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-04-30 13:00:00
SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-30 12:10:32 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-04-30 13:05:00
SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-30 12:15:36 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-04-30 13:10:00
