SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 03:06:32 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-13 04:00:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 03:11:43 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-13 04:05:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 03:16:48 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-13 04:10:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 03:21:54 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-13 04:15:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 03:26:59 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-13 04:20:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 03:32:03 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-13 04:25:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 03:37:08 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-13 04:30:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 03:42:13 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-13 04:35:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 03:47:18 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-13 04:40:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 03:52:23 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-13 04:45:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 03:57:28 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-13 04:50:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 04:00:01 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-13 04:55:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 04:05:06 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-13 05:00:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 04:10:11 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-13 05:05:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 04:15:16 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-13 05:10:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 05:36:36 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-13 06:30:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 05:46:47 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-13 06:40:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 06:07:06 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-13 07:00:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 06:12:10 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-13 07:05:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 06:17:15 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-13 07:10:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 06:22:20 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-13 07:15:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 06:27:25 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-13 07:20:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 06:32:31 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-13 07:25:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 10:00:56 | sygnal=BUY | numer_scenariusza=SC9 | godzina_brokera=2026-05-13 10:55:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 10:06:01 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-13 11:00:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 10:11:06 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-13 11:05:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 10:16:11 | sygnal=BUY | numer_scenariusza=SC9 | godzina_brokera=2026-05-13 11:10:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 10:21:16 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-13 11:15:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 10:26:22 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-13 11:20:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 10:31:27 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-13 11:25:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 10:36:32 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-13 11:30:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 10:41:36 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-13 11:35:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 10:46:42 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-13 11:40:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 10:51:47 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-13 11:45:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 11:35:05 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-13 12:30:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 11:40:10 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-13 12:35:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 11:45:15 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-13 12:40:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 11:50:20 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-13 12:45:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 11:55:25 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-13 12:50:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 12:15:46 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-13 13:10:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 12:20:52 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-13 13:15:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 12:25:57 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-13 13:20:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 12:31:02 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-13 13:25:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 12:36:08 | sygnal=SELL | numer_scenariusza=SC5 | godzina_brokera=2026-05-13 13:30:00
