SCENARIUSZ HIT | symbol=USTEC | data_godzina=2026-04-16 19:11:45 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-04-16 20:05:00
SCENARIUSZ HIT | symbol=USTEC | data_godzina=2026-04-16 19:16:49 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-04-16 20:10:00
SCENARIUSZ HIT | symbol=USTEC | data_godzina=2026-04-16 19:21:52 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-04-16 20:15:00
SCENARIUSZ HIT | symbol=USTEC | data_godzina=2026-04-16 20:02:18 | sygnal=SELL | numer_scenariusza=SC5 | godzina_brokera=2026-04-16 20:55:00
SCENARIUSZ HIT | symbol=USTEC | data_godzina=2026-04-16 20:07:22 | sygnal=SELL | numer_scenariusza=SC5 | godzina_brokera=2026-04-16 21:00:00
SCENARIUSZ HIT | symbol=USTEC | data_godzina=2026-04-16 20:12:26 | sygnal=SELL | numer_scenariusza=SC5 | godzina_brokera=2026-04-16 21:05:00
SCENARIUSZ HIT | symbol=USTEC | data_godzina=2026-04-16 20:17:29 | sygnal=SELL | numer_scenariusza=SC5 | godzina_brokera=2026-04-16 21:10:00
SCENARIUSZ HIT | symbol=USTEC | data_godzina=2026-04-16 20:20:02 | sygnal=SELL | numer_scenariusza=SC5 | godzina_brokera=2026-04-16 21:15:00
SCENARIUSZ HIT | symbol=USTEC | data_godzina=2026-04-16 20:25:05 | sygnal=SELL | numer_scenariusza=SC5 | godzina_brokera=2026-04-16 21:20:00
SCENARIUSZ HIT | symbol=USTEC | data_godzina=2026-04-16 20:30:09 | sygnal=SELL | numer_scenariusza=SC5 | godzina_brokera=2026-04-16 21:25:00
SCENARIUSZ HIT | symbol=USTEC | data_godzina=2026-04-16 20:35:12 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-04-16 21:30:00
SCENARIUSZ HIT | symbol=USTEC | data_godzina=2026-04-16 20:40:15 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-04-16 21:35:00
SCENARIUSZ HIT | symbol=USTEC | data_godzina=2026-04-16 20:45:19 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-04-16 21:40:00
SCENARIUSZ HIT | symbol=USTEC | data_godzina=2026-04-16 20:50:22 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-04-16 21:45:00
SCENARIUSZ HIT | symbol=USTEC | data_godzina=2026-04-17 02:36:32 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-04-17 03:30:00
SCENARIUSZ HIT | symbol=USTEC | data_godzina=2026-04-17 02:41:36 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-04-17 03:35:00
SCENARIUSZ HIT | symbol=USTEC | data_godzina=2026-04-17 02:46:39 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-04-17 03:40:00
SCENARIUSZ HIT | symbol=USTEC | data_godzina=2026-04-17 02:51:42 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-04-17 03:45:00
SCENARIUSZ HIT | symbol=USTEC | data_godzina=2026-04-17 02:56:45 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-04-17 03:50:00
SCENARIUSZ HIT | symbol=USTEC | data_godzina=2026-04-17 03:01:48 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-04-17 03:55:00
SCENARIUSZ HIT | symbol=USTEC | data_godzina=2026-04-17 03:11:55 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-04-17 04:05:00
