data,godzina,godzina_brokera,typ_zdarzenia,rezultat_adx,adx_di_cross_raw,rezultat_mcad,rezultat_ichimoku,sygnal,nr_scenariusza,nr_scenariusza_zamkniecia,warunki_scenariusza
2026-05-12,19:55:00,2026-05-12 19:55:00,SCENARIO_SIGNAL,BRAK,BRAK,Boczny,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,19:55:00,2026-05-12 19:55:00,SCENARIO_SIGNAL,BRAK,BRAK,Boczny,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,20:00:00,2026-05-12 20:00:00,INDICATOR_MCAD,BRAK,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,20:00:00,2026-05-12 20:00:00,SCENARIO_SIGNAL,BRAK,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,20:00:00,2026-05-12 20:00:00,INDICATOR_MCAD,BRAK,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,20:00:00,2026-05-12 20:00:00,SCENARIO_SIGNAL,BRAK,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,20:00:00,2026-05-12 20:05:00,INDICATOR_MCAD,BRAK,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,20:00:00,2026-05-12 20:05:00,SCENARIO_SIGNAL,BRAK,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,20:00:00,2026-05-12 20:05:00,INDICATOR_MCAD,BRAK,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,20:00:00,2026-05-12 20:05:00,SCENARIO_SIGNAL,BRAK,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,20:00:00,2026-05-12 20:10:00,INDICATOR_MCAD,BRAK,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,20:00:00,2026-05-12 20:10:00,SCENARIO_SIGNAL,BRAK,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,20:00:00,2026-05-12 20:15:00,INDICATOR_MCAD,BRAK,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,20:00:00,2026-05-12 20:15:00,SCENARIO_SIGNAL,BRAK,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,20:00:00,2026-05-12 20:15:00,INDICATOR_MCAD,BRAK,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,20:00:00,2026-05-12 20:15:00,SCENARIO_SIGNAL,BRAK,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,20:00:00,2026-05-12 20:20:00,INDICATOR_MCAD,BRAK,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,20:00:00,2026-05-12 20:20:00,SCENARIO_SIGNAL,BRAK,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,20:00:00,2026-05-12 20:20:00,INDICATOR_MCAD,BRAK,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,20:00:00,2026-05-12 20:20:00,SCENARIO_SIGNAL,BRAK,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,20:00:00,2026-05-12 20:25:00,INDICATOR_MCAD,BRAK,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,20:00:00,2026-05-12 20:25:00,SCENARIO_SIGNAL,BRAK,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,20:00:00,2026-05-12 20:25:00,INDICATOR_MCAD,BRAK,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,20:00:00,2026-05-12 20:25:00,SCENARIO_SIGNAL,BRAK,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,20:00:00,2026-05-12 20:30:00,INDICATOR_MCAD,BRAK,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,20:00:00,2026-05-12 20:30:00,SCENARIO_SIGNAL,BRAK,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,20:00:00,2026-05-12 20:30:00,INDICATOR_MCAD,BRAK,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,20:00:00,2026-05-12 20:30:00,SCENARIO_SIGNAL,BRAK,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,20:00:00,2026-05-12 20:35:00,INDICATOR_MCAD,BRAK,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,20:00:00,2026-05-12 20:35:00,SCENARIO_SIGNAL,BRAK,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,20:00:00,2026-05-12 20:35:00,INDICATOR_MCAD,BRAK,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,20:00:00,2026-05-12 20:35:00,SCENARIO_SIGNAL,BRAK,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,20:00:00,2026-05-12 20:40:00,INDICATOR_MCAD,BRAK,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,20:00:00,2026-05-12 20:40:00,SCENARIO_SIGNAL,BRAK,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,20:00:00,2026-05-12 20:40:00,INDICATOR_MCAD,BRAK,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,20:00:00,2026-05-12 20:40:00,SCENARIO_SIGNAL,BRAK,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,20:00:00,2026-05-12 20:45:00,INDICATOR_MCAD,BRAK,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,20:00:00,2026-05-12 20:45:00,SCENARIO_SIGNAL,BRAK,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,20:00:00,2026-05-12 20:45:00,INDICATOR_MCAD,BRAK,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,20:00:00,2026-05-12 20:45:00,SCENARIO_SIGNAL,BRAK,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,20:00:00,2026-05-12 20:50:00,INDICATOR_MCAD,BRAK,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,20:00:00,2026-05-12 20:50:00,SCENARIO_SIGNAL,BRAK,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,20:00:00,2026-05-12 20:50:00,INDICATOR_MCAD,BRAK,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,20:00:00,2026-05-12 20:50:00,SCENARIO_SIGNAL,BRAK,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,20:00:00,2026-05-12 20:55:00,INDICATOR_MCAD,BRAK,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,20:00:00,2026-05-12 20:55:00,SCENARIO_SIGNAL,BRAK,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,20:00:00,2026-05-12 20:55:00,INDICATOR_MCAD,BRAK,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,20:00:00,2026-05-12 20:55:00,SCENARIO_SIGNAL,BRAK,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,20:00:00,2026-05-12 21:00:00,INDICATOR_MCAD,BRAK,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,20:00:00,2026-05-12 21:00:00,SCENARIO_SIGNAL,BRAK,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,20:00:00,2026-05-12 21:00:00,INDICATOR_MCAD,BRAK,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,20:00:00,2026-05-12 21:00:00,SCENARIO_SIGNAL,BRAK,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,21:05:00,2026-05-12 21:05:00,INDICATOR_MCAD,Boczny (NEITHER) 1778619900000,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,21:05:00,2026-05-12 21:05:00,SCENARIO_SIGNAL,Boczny (NEITHER) 1778619900000,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,21:05:00,2026-05-12 21:05:00,INDICATOR_MCAD,Boczny (NEITHER) 1778619900000,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,21:05:00,2026-05-12 21:05:00,SCENARIO_SIGNAL,Boczny (NEITHER) 1778619900000,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,21:10:00,2026-05-12 21:10:00,INDICATOR_MCAD,Boczny (DECREASING) 1778620200000,BRAK,Spadek_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,21:10:00,2026-05-12 21:10:00,SCENARIO_SIGNAL,Boczny (DECREASING) 1778620200000,BRAK,Spadek_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,21:10:00,2026-05-12 21:10:00,INDICATOR_MCAD,Boczny (DECREASING) 1778620200000,BRAK,Spadek_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,21:10:00,2026-05-12 21:10:00,SCENARIO_SIGNAL,Boczny (DECREASING) 1778620200000,BRAK,Spadek_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,21:15:00,2026-05-12 21:15:00,INDICATOR_MCAD,Boczny (DECREASING) 1778620500000,BRAK,Spadek_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,21:15:00,2026-05-12 21:15:00,SCENARIO_SIGNAL,Boczny (DECREASING) 1778620500000,BRAK,Spadek_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,21:15:00,2026-05-12 21:15:00,INDICATOR_MCAD,Boczny (DECREASING) 1778620500000,BRAK,Spadek_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,21:15:00,2026-05-12 21:15:00,SCENARIO_SIGNAL,Boczny (DECREASING) 1778620500000,BRAK,Spadek_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,21:20:00,2026-05-12 21:20:00,INDICATOR_MCAD,Boczny (INCREASING) 1778620800000,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,21:20:00,2026-05-12 21:20:00,SCENARIO_SIGNAL,Boczny (INCREASING) 1778620800000,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,21:20:00,2026-05-12 21:20:00,INDICATOR_MCAD,Boczny (INCREASING) 1778620800000,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,21:20:00,2026-05-12 21:20:00,SCENARIO_SIGNAL,Boczny (INCREASING) 1778620800000,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,21:25:00,2026-05-12 21:25:00,INDICATOR_MCAD,Boczny (INCREASING) 1778621100000,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,21:25:00,2026-05-12 21:25:00,SCENARIO_SIGNAL,Boczny (INCREASING) 1778621100000,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,21:25:00,2026-05-12 21:25:00,INDICATOR_MCAD,Boczny (INCREASING) 1778621100000,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,21:25:00,2026-05-12 21:25:00,SCENARIO_SIGNAL,Boczny (INCREASING) 1778621100000,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,21:30:00,2026-05-12 21:30:00,INDICATOR_MCAD,Boczny (INCREASING) 1778621400000,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,21:30:00,2026-05-12 21:30:00,SCENARIO_SIGNAL,Boczny (INCREASING) 1778621400000,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,21:30:00,2026-05-12 21:30:00,INDICATOR_MCAD,Boczny (INCREASING) 1778621400000,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,21:30:00,2026-05-12 21:30:00,SCENARIO_SIGNAL,Boczny (INCREASING) 1778621400000,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,21:35:00,2026-05-12 21:35:00,INDICATOR_MCAD,Boczny (INCREASING) 1778621700000,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,21:35:00,2026-05-12 21:35:00,SCENARIO_SIGNAL,Boczny (INCREASING) 1778621700000,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,21:35:00,2026-05-12 21:35:00,INDICATOR_MCAD,Boczny (INCREASING) 1778621700000,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,21:35:00,2026-05-12 21:35:00,SCENARIO_SIGNAL,Boczny (INCREASING) 1778621700000,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
