data,godzina,godzina_brokera,typ_zdarzenia,rezultat_adx,adx_di_cross_raw,rezultat_mcad,rezultat_ichimoku,sygnal,nr_scenariusza,nr_scenariusza_zamkniecia,warunki_scenariusza
2026-04-10,22:50:00,2026-04-10 22:50:00,INDICATOR_MCAD,Boczny (INCREASING) 1775861400000,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-04-10,22:50:00,2026-04-10 22:50:00,INDICATOR_ICHIMOKU,Boczny (INCREASING) 1775861400000,BRAK,Wzrost_przeciecie,"K: ichi_crossover_tenkansen_kiusen_result_enum.Przeciecie_do_gory ,1775159700000 , 2026-04-02 19:55:00 | ichi_crossover_price_kiusen_result_enum.Przeciecie_do_gory ,1775163000000 , 2026-04-02 20:50:00 ; S: BRAK",BRAK,BRAK,BRAK,BRAK
2026-04-10,22:50:00,2026-04-10 22:50:00,SCENARIO_SIGNAL,Boczny (INCREASING) 1775861400000,BRAK,Wzrost_przeciecie,"K: ichi_crossover_tenkansen_kiusen_result_enum.Przeciecie_do_gory ,1775159700000 , 2026-04-02 19:55:00 | ichi_crossover_price_kiusen_result_enum.Przeciecie_do_gory ,1775163000000 , 2026-04-02 20:50:00 ; S: BRAK",BRAK,BRAK,BRAK,BRAK
2026-04-10,22:50:00,2026-04-10 22:50:00,INDICATOR_MCAD,Boczny (INCREASING) 1775861400000,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-04-10,22:50:00,2026-04-10 22:50:00,INDICATOR_ICHIMOKU,Boczny (INCREASING) 1775861400000,BRAK,Wzrost_przeciecie,"K: ichi_crossover_tenkansen_kiusen_result_enum.Przeciecie_do_gory ,1775159700000 , 2026-04-02 19:55:00 | ichi_crossover_price_kiusen_result_enum.Przeciecie_do_gory ,1775163000000 , 2026-04-02 20:50:00 ; S: BRAK",BRAK,BRAK,BRAK,BRAK
2026-04-10,22:50:00,2026-04-10 22:50:00,SCENARIO_SIGNAL,Boczny (INCREASING) 1775861400000,BRAK,Wzrost_przeciecie,"K: ichi_crossover_tenkansen_kiusen_result_enum.Przeciecie_do_gory ,1775159700000 , 2026-04-02 19:55:00 | ichi_crossover_price_kiusen_result_enum.Przeciecie_do_gory ,1775163000000 , 2026-04-02 20:50:00 ; S: BRAK",BRAK,BRAK,BRAK,BRAK
2026-04-10,22:50:00,2026-04-10 22:50:00,INDICATOR_MCAD,Boczny (INCREASING) 1775861400000,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-04-10,22:50:00,2026-04-10 22:50:00,INDICATOR_ICHIMOKU,Boczny (INCREASING) 1775861400000,BRAK,Wzrost_przeciecie,"K: ichi_crossover_tenkansen_kiusen_result_enum.Przeciecie_do_gory ,1775159700000 , 2026-04-02 19:55:00 | ichi_crossover_price_kiusen_result_enum.Przeciecie_do_gory ,1775163000000 , 2026-04-02 20:50:00 ; S: BRAK",BRAK,BRAK,BRAK,BRAK
2026-04-10,22:50:00,2026-04-10 22:50:00,SCENARIO_SIGNAL,Boczny (INCREASING) 1775861400000,BRAK,Wzrost_przeciecie,"K: ichi_crossover_tenkansen_kiusen_result_enum.Przeciecie_do_gory ,1775159700000 , 2026-04-02 19:55:00 | ichi_crossover_price_kiusen_result_enum.Przeciecie_do_gory ,1775163000000 , 2026-04-02 20:50:00 ; S: BRAK",BRAK,BRAK,BRAK,BRAK
2026-04-10,22:50:00,2026-04-10 22:50:00,INDICATOR_MCAD,Boczny (INCREASING) 1775861400000,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-04-10,22:50:00,2026-04-10 22:50:00,INDICATOR_ICHIMOKU,Boczny (INCREASING) 1775861400000,BRAK,Wzrost_przeciecie,"K: ichi_crossover_tenkansen_kiusen_result_enum.Przeciecie_do_gory ,1775159700000 , 2026-04-02 19:55:00 | ichi_crossover_price_kiusen_result_enum.Przeciecie_do_gory ,1775163000000 , 2026-04-02 20:50:00 ; S: BRAK",BRAK,BRAK,BRAK,BRAK
2026-04-10,22:50:00,2026-04-10 22:50:00,SCENARIO_SIGNAL,Boczny (INCREASING) 1775861400000,BRAK,Wzrost_przeciecie,"K: ichi_crossover_tenkansen_kiusen_result_enum.Przeciecie_do_gory ,1775159700000 , 2026-04-02 19:55:00 | ichi_crossover_price_kiusen_result_enum.Przeciecie_do_gory ,1775163000000 , 2026-04-02 20:50:00 ; S: BRAK",BRAK,BRAK,BRAK,BRAK
2026-04-10,22:50:00,2026-04-10 22:50:00,INDICATOR_MCAD,Boczny (INCREASING) 1775861400000,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-04-10,22:50:00,2026-04-10 22:50:00,INDICATOR_ICHIMOKU,Boczny (INCREASING) 1775861400000,BRAK,Wzrost_przeciecie,"K: ichi_crossover_tenkansen_kiusen_result_enum.Przeciecie_do_gory ,1775159700000 , 2026-04-02 19:55:00 | ichi_crossover_price_kiusen_result_enum.Przeciecie_do_gory ,1775163000000 , 2026-04-02 20:50:00 ; S: BRAK",BRAK,BRAK,BRAK,BRAK
2026-04-10,22:50:00,2026-04-10 22:50:00,SCENARIO_SIGNAL,Boczny (INCREASING) 1775861400000,BRAK,Wzrost_przeciecie,"K: ichi_crossover_tenkansen_kiusen_result_enum.Przeciecie_do_gory ,1775159700000 , 2026-04-02 19:55:00 | ichi_crossover_price_kiusen_result_enum.Przeciecie_do_gory ,1775163000000 , 2026-04-02 20:50:00 ; S: BRAK",BRAK,BRAK,BRAK,BRAK
2026-04-10,22:50:00,2026-04-10 22:50:00,INDICATOR_MCAD,Boczny (INCREASING) 1775861400000,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
