data,godzina,godzina_brokera,typ_zdarzenia,rezultat_adx,adx_di_cross_raw,rezultat_mcad,rezultat_ichimoku,sygnal,nr_scenariusza,nr_scenariusza_zamkniecia,warunki_scenariusza
2026-05-12,19:55:00,2026-05-12 19:55:00,INDICATOR_MCAD,Boczny (INCREASING) 1778615700000,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,19:55:00,2026-05-12 19:55:00,INDICATOR_ICHIMOKU,Boczny (INCREASING) 1778615700000,BRAK,Wzrost_przeciecie,"K: ichi_crossover_tenkansen_kiusen_result_enum.Przeciecie_do_gory ,1778488800000 , 2026-05-11 08:40:00 | ichi_crossover_price_kiusen_result_enum.Przeciecie_do_gory ,1778492100000 , 2026-05-11 09:35:00 | ichi_crossover_price_senokuspan_result_enum.Przeciecie_do_gory ,1778487300000 , 2026-05-11 08:15:00 ; S: BRAK",BRAK,BRAK,BRAK,BRAK
2026-05-12,19:55:00,2026-05-12 19:55:00,SCENARIO_SIGNAL,Boczny (INCREASING) 1778615700000,BRAK,Wzrost_przeciecie,"K: ichi_crossover_tenkansen_kiusen_result_enum.Przeciecie_do_gory ,1778488800000 , 2026-05-11 08:40:00 | ichi_crossover_price_kiusen_result_enum.Przeciecie_do_gory ,1778492100000 , 2026-05-11 09:35:00 | ichi_crossover_price_senokuspan_result_enum.Przeciecie_do_gory ,1778487300000 , 2026-05-11 08:15:00 ; S: BRAK",BRAK,BRAK,BRAK,BRAK
2026-05-12,19:55:00,2026-05-12 19:55:00,INDICATOR_MCAD,Boczny (INCREASING) 1778615700000,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,19:55:00,2026-05-12 19:55:00,INDICATOR_ICHIMOKU,Boczny (INCREASING) 1778615700000,BRAK,Wzrost_przeciecie,"K: ichi_crossover_tenkansen_kiusen_result_enum.Przeciecie_do_gory ,1778488800000 , 2026-05-11 08:40:00 | ichi_crossover_price_kiusen_result_enum.Przeciecie_do_gory ,1778492100000 , 2026-05-11 09:35:00 | ichi_crossover_price_senokuspan_result_enum.Przeciecie_do_gory ,1778487300000 , 2026-05-11 08:15:00 ; S: BRAK",BRAK,BRAK,BRAK,BRAK
2026-05-12,19:55:00,2026-05-12 19:55:00,SCENARIO_SIGNAL,Boczny (INCREASING) 1778615700000,BRAK,Wzrost_przeciecie,"K: ichi_crossover_tenkansen_kiusen_result_enum.Przeciecie_do_gory ,1778488800000 , 2026-05-11 08:40:00 | ichi_crossover_price_kiusen_result_enum.Przeciecie_do_gory ,1778492100000 , 2026-05-11 09:35:00 | ichi_crossover_price_senokuspan_result_enum.Przeciecie_do_gory ,1778487300000 , 2026-05-11 08:15:00 ; S: BRAK",BRAK,BRAK,BRAK,BRAK
2026-05-12,20:00:00,2026-05-12 20:00:00,INDICATOR_MCAD,Boczny (INCREASING) 1778616000000,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,20:00:00,2026-05-12 20:00:00,INDICATOR_ICHIMOKU,Boczny (INCREASING) 1778616000000,BRAK,Wzrost_przeciecie,"K: ichi_crossover_tenkansen_kiusen_result_enum.Przeciecie_do_gory ,1778488800000 , 2026-05-11 08:40:00 | ichi_crossover_price_kiusen_result_enum.Przeciecie_do_gory ,1778492100000 , 2026-05-11 09:35:00 | ichi_crossover_price_senokuspan_result_enum.Przeciecie_do_gory ,1778487300000 , 2026-05-11 08:15:00 ; S: BRAK",BRAK,BRAK,BRAK,BRAK
2026-05-12,20:00:00,2026-05-12 20:00:00,SCENARIO_SIGNAL,Boczny (INCREASING) 1778616000000,BRAK,Wzrost_przeciecie,"K: ichi_crossover_tenkansen_kiusen_result_enum.Przeciecie_do_gory ,1778488800000 , 2026-05-11 08:40:00 | ichi_crossover_price_kiusen_result_enum.Przeciecie_do_gory ,1778492100000 , 2026-05-11 09:35:00 | ichi_crossover_price_senokuspan_result_enum.Przeciecie_do_gory ,1778487300000 , 2026-05-11 08:15:00 ; S: BRAK",BRAK,BRAK,BRAK,BRAK
2026-05-12,20:00:00,2026-05-12 20:00:00,INDICATOR_MCAD,Boczny (INCREASING) 1778616000000,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-05-12,20:00:00,2026-05-12 20:00:00,INDICATOR_ICHIMOKU,Boczny (INCREASING) 1778616000000,BRAK,Wzrost_przeciecie,"K: ichi_crossover_tenkansen_kiusen_result_enum.Przeciecie_do_gory ,1778488800000 , 2026-05-11 08:40:00 | ichi_crossover_price_kiusen_result_enum.Przeciecie_do_gory ,1778492100000 , 2026-05-11 09:35:00 | ichi_crossover_price_senokuspan_result_enum.Przeciecie_do_gory ,1778487300000 , 2026-05-11 08:15:00 ; S: BRAK",BRAK,BRAK,BRAK,BRAK
