data,godzina,godzina_brokera,typ_zdarzenia,rezultat_adx,adx_di_cross_raw,rezultat_mcad,rezultat_ichimoku,sygnal,nr_scenariusza,nr_scenariusza_zamkniecia,warunki_scenariusza
2026-03-27,19:00:00,BRAK,ANALIZA,Spadek_przeciecie (INCREASING) 1774638000000,SPADEK 1774638000000,BRAK,BRAK,BRAK,BRAK,BRAK,BRAK
2026-03-27,19:00:00,2026-03-27 19:00:00,INDICATOR_MCAD,Spadek_przeciecie (INCREASING) 1774638000000,SPADEK 1774638000000,Spadek_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-03-27,19:00:00,2026-03-27 19:00:00,INDICATOR_ICHIMOKU,Spadek_przeciecie (INCREASING) 1774638000000,SPADEK 1774638000000,Spadek_przeciecie,"K: ichi_crossover_tenkansen_kiusen_result_enum.Przeciecie_do_gory ,1774435200000 , 2026-03-25 10:40:00 | ichi_crossover_price_kiusen_result_enum.Przeciecie_do_gory ,1774434900000 , 2026-03-25 10:35:00 | ichi_crossover_price_senokuspan_result_enum.Przeciecie_do_gory ,1774435200000 , 2026-03-25 10:40:00 ; S: BRAK",BRAK,BRAK,BRAK,BRAK
2026-03-27,19:05:00,2026-03-27 19:05:00,INDICATOR_MCAD,Boczny (INCREASING) 1774638300000,BRAK,Spadek_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-03-27,19:05:00,2026-03-27 19:05:00,INDICATOR_ICHIMOKU,Boczny (INCREASING) 1774638300000,BRAK,Spadek_przeciecie,"K: ichi_crossover_tenkansen_kiusen_result_enum.Przeciecie_do_gory ,1774435200000 , 2026-03-25 10:40:00 | ichi_crossover_price_kiusen_result_enum.Przeciecie_do_gory ,1774434900000 , 2026-03-25 10:35:00 | ichi_crossover_price_senokuspan_result_enum.Przeciecie_do_gory ,1774435200000 , 2026-03-25 10:40:00 ; S: BRAK",BRAK,BRAK,BRAK,BRAK
2026-03-27,19:10:00,2026-03-27 19:10:00,INDICATOR_MCAD,Boczny (INCREASING) 1774638600000,BRAK,Spadek_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-03-27,19:10:00,2026-03-27 19:10:00,INDICATOR_ICHIMOKU,Boczny (INCREASING) 1774638600000,BRAK,Spadek_przeciecie,"K: ichi_crossover_tenkansen_kiusen_result_enum.Przeciecie_do_gory ,1774435200000 , 2026-03-25 10:40:00 | ichi_crossover_price_kiusen_result_enum.Przeciecie_do_gory ,1774434900000 , 2026-03-25 10:35:00 | ichi_crossover_price_senokuspan_result_enum.Przeciecie_do_gory ,1774435200000 , 2026-03-25 10:40:00 ; S: BRAK",BRAK,BRAK,BRAK,BRAK
2026-03-27,19:10:00,2026-03-27 19:10:00,INDICATOR_MCAD,Boczny (INCREASING) 1774638600000,BRAK,Spadek_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-03-27,19:10:00,2026-03-27 19:10:00,INDICATOR_ICHIMOKU,Boczny (INCREASING) 1774638600000,BRAK,Spadek_przeciecie,"K: ichi_crossover_tenkansen_kiusen_result_enum.Przeciecie_do_gory ,1774435200000 , 2026-03-25 10:40:00 | ichi_crossover_price_kiusen_result_enum.Przeciecie_do_gory ,1774434900000 , 2026-03-25 10:35:00 | ichi_crossover_price_senokuspan_result_enum.Przeciecie_do_gory ,1774435200000 , 2026-03-25 10:40:00 ; S: BRAK",BRAK,BRAK,BRAK,BRAK
2026-03-27,19:15:00,2026-03-27 19:15:00,INDICATOR_MCAD,Boczny (INCREASING) 1774638900000,BRAK,Spadek_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-03-27,19:15:00,2026-03-27 19:15:00,INDICATOR_ICHIMOKU,Boczny (INCREASING) 1774638900000,BRAK,Spadek_przeciecie,"K: ichi_crossover_tenkansen_kiusen_result_enum.Przeciecie_do_gory ,1774435200000 , 2026-03-25 10:40:00 | ichi_crossover_price_kiusen_result_enum.Przeciecie_do_gory ,1774434900000 , 2026-03-25 10:35:00 | ichi_crossover_price_senokuspan_result_enum.Przeciecie_do_gory ,1774435200000 , 2026-03-25 10:40:00 ; S: BRAK",BRAK,BRAK,BRAK,BRAK
2026-03-27,19:15:00,2026-03-27 19:15:00,INDICATOR_MCAD,Boczny (INCREASING) 1774638900000,BRAK,Spadek_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-03-27,19:15:00,2026-03-27 19:15:00,INDICATOR_ICHIMOKU,Boczny (INCREASING) 1774638900000,BRAK,Spadek_przeciecie,"K: ichi_crossover_tenkansen_kiusen_result_enum.Przeciecie_do_gory ,1774435200000 , 2026-03-25 10:40:00 | ichi_crossover_price_kiusen_result_enum.Przeciecie_do_gory ,1774434900000 , 2026-03-25 10:35:00 | ichi_crossover_price_senokuspan_result_enum.Przeciecie_do_gory ,1774435200000 , 2026-03-25 10:40:00 ; S: BRAK",BRAK,BRAK,BRAK,BRAK
2026-03-27,19:20:00,2026-03-27 19:20:00,INDICATOR_MCAD,Boczny (INCREASING) 1774639200000,BRAK,Spadek_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-03-27,19:20:00,2026-03-27 19:20:00,INDICATOR_ICHIMOKU,Boczny (INCREASING) 1774639200000,BRAK,Spadek_przeciecie,"K: ichi_crossover_tenkansen_kiusen_result_enum.Przeciecie_do_gory ,1774435200000 , 2026-03-25 10:40:00 | ichi_crossover_price_kiusen_result_enum.Przeciecie_do_gory ,1774434900000 , 2026-03-25 10:35:00 | ichi_crossover_price_senokuspan_result_enum.Przeciecie_do_gory ,1774435200000 , 2026-03-25 10:40:00 ; S: BRAK",BRAK,BRAK,BRAK,BRAK
2026-03-27,19:20:00,2026-03-27 19:20:00,INDICATOR_MCAD,Boczny (INCREASING) 1774639200000,BRAK,Spadek_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-03-27,19:20:00,2026-03-27 19:20:00,INDICATOR_ICHIMOKU,Boczny (INCREASING) 1774639200000,BRAK,Spadek_przeciecie,"K: ichi_crossover_tenkansen_kiusen_result_enum.Przeciecie_do_gory ,1774435200000 , 2026-03-25 10:40:00 | ichi_crossover_price_kiusen_result_enum.Przeciecie_do_gory ,1774434900000 , 2026-03-25 10:35:00 | ichi_crossover_price_senokuspan_result_enum.Przeciecie_do_gory ,1774435200000 , 2026-03-25 10:40:00 ; S: BRAK",BRAK,BRAK,BRAK,BRAK
2026-03-27,19:25:00,2026-03-27 19:25:00,INDICATOR_MCAD,Boczny (INCREASING) 1774639500000,BRAK,Spadek_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-03-27,19:25:00,2026-03-27 19:25:00,INDICATOR_ICHIMOKU,Boczny (INCREASING) 1774639500000,BRAK,Spadek_przeciecie,"K: ichi_crossover_price_kiusen_result_enum.Przeciecie_do_gory ,1774434900000 , 2026-03-25 10:35:00 | ichi_crossover_price_senokuspan_result_enum.Przeciecie_do_gory ,1774435200000 , 2026-03-25 10:40:00 ; S: ichi_crossover_tenkansen_kiusen_result_enum.Przeciecie_do_dolu ,1774639500000 , 2026-03-27 19:25:00",BRAK,BRAK,BRAK,BRAK
2026-03-27,19:25:00,2026-03-27 19:25:00,INDICATOR_MCAD,Boczny (INCREASING) 1774639500000,BRAK,Spadek_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-03-27,19:25:00,2026-03-27 19:25:00,INDICATOR_ICHIMOKU,Boczny (INCREASING) 1774639500000,BRAK,Spadek_przeciecie,"K: ichi_crossover_price_kiusen_result_enum.Przeciecie_do_gory ,1774434900000 , 2026-03-25 10:35:00 | ichi_crossover_price_senokuspan_result_enum.Przeciecie_do_gory ,1774435200000 , 2026-03-25 10:40:00 ; S: ichi_crossover_tenkansen_kiusen_result_enum.Przeciecie_do_dolu ,1774639500000 , 2026-03-27 19:25:00",BRAK,BRAK,BRAK,BRAK
2026-03-27,19:30:00,2026-03-27 19:30:00,INDICATOR_MCAD,Boczny (INCREASING) 1774639800000,BRAK,Spadek_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-03-27,19:30:00,2026-03-27 19:30:00,INDICATOR_ICHIMOKU,Boczny (INCREASING) 1774639800000,BRAK,Spadek_przeciecie,"K: ichi_crossover_price_kiusen_result_enum.Przeciecie_do_gory ,1774434900000 , 2026-03-25 10:35:00 | ichi_crossover_price_senokuspan_result_enum.Przeciecie_do_gory ,1774435200000 , 2026-03-25 10:40:00 ; S: ichi_crossover_tenkansen_kiusen_result_enum.Przeciecie_do_dolu ,1774639500000 , 2026-03-27 19:25:00",BRAK,BRAK,BRAK,BRAK
2026-03-27,19:30:00,2026-03-27 19:30:00,INDICATOR_MCAD,Boczny (INCREASING) 1774639800000,BRAK,Spadek_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
