data,godzina,godzina_brokera,typ_zdarzenia,rezultat_adx,adx_di_cross_raw,rezultat_mcad,rezultat_ichimoku,sygnal,nr_scenariusza,nr_scenariusza_zamkniecia,warunki_scenariusza
2026-04-16,18:50:00,BRAK,ANALIZA,Wzrost_przeciecie (INCREASING) 1776365400000,WZROST 1776365400000,BRAK,BRAK,BRAK,BRAK,BRAK,BRAK
2026-04-16,18:50:00,2026-04-16 18:50:00,INDICATOR_MCAD,Wzrost_przeciecie (INCREASING) 1776365400000,WZROST 1776365400000,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-04-16,18:50:00,2026-04-16 18:50:00,INDICATOR_ICHIMOKU,Wzrost_przeciecie (INCREASING) 1776365400000,WZROST 1776365400000,Wzrost_przeciecie,"K: ichi_crossover_tenkansen_kiusen_result_enum.Przeciecie_do_gory ,1776329700000 , 2026-04-16 08:55:00 | ichi_crossover_price_kiusen_result_enum.Przeciecie_do_gory ,1776327600000 , 2026-04-16 08:20:00 | ichi_crossover_price_senokuspan_result_enum.Przeciecie_do_gory ,1776329100000 , 2026-04-16 08:45:00 ; S: BRAK",BRAK,BRAK,BRAK,BRAK
2026-04-16,18:50:00,2026-04-16 18:50:00,SCENARIO_SIGNAL,Wzrost_przeciecie (INCREASING) 1776365400000,WZROST 1776365400000,Wzrost_przeciecie,"K: ichi_crossover_tenkansen_kiusen_result_enum.Przeciecie_do_gory ,1776329700000 , 2026-04-16 08:55:00 | ichi_crossover_price_kiusen_result_enum.Przeciecie_do_gory ,1776327600000 , 2026-04-16 08:20:00 | ichi_crossover_price_senokuspan_result_enum.Przeciecie_do_gory ,1776329100000 , 2026-04-16 08:45:00 ; S: BRAK",BRAK,BRAK,BRAK,BRAK
2026-04-16,18:55:00,2026-04-16 18:55:00,INDICATOR_MCAD,Boczny (INCREASING) 1776365700000,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-04-16,18:55:00,2026-04-16 18:55:00,INDICATOR_ICHIMOKU,Boczny (INCREASING) 1776365700000,BRAK,Wzrost_przeciecie,"K: ichi_crossover_tenkansen_kiusen_result_enum.Przeciecie_do_gory ,1776329700000 , 2026-04-16 08:55:00 | ichi_crossover_price_kiusen_result_enum.Przeciecie_do_gory ,1776327600000 , 2026-04-16 08:20:00 | ichi_crossover_price_senokuspan_result_enum.Przeciecie_do_gory ,1776329100000 , 2026-04-16 08:45:00 ; S: BRAK",BRAK,BRAK,BRAK,BRAK
2026-04-16,18:55:00,2026-04-16 18:55:00,SCENARIO_SIGNAL,Boczny (INCREASING) 1776365700000,BRAK,Wzrost_przeciecie,"K: ichi_crossover_tenkansen_kiusen_result_enum.Przeciecie_do_gory ,1776329700000 , 2026-04-16 08:55:00 | ichi_crossover_price_kiusen_result_enum.Przeciecie_do_gory ,1776327600000 , 2026-04-16 08:20:00 | ichi_crossover_price_senokuspan_result_enum.Przeciecie_do_gory ,1776329100000 , 2026-04-16 08:45:00 ; S: BRAK",BRAK,BRAK,BRAK,BRAK
2026-04-16,18:55:00,2026-04-16 18:55:00,INDICATOR_MCAD,Boczny (INCREASING) 1776365700000,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-04-16,18:55:00,2026-04-16 18:55:00,INDICATOR_ICHIMOKU,Boczny (INCREASING) 1776365700000,BRAK,Wzrost_przeciecie,"K: ichi_crossover_tenkansen_kiusen_result_enum.Przeciecie_do_gory ,1776329700000 , 2026-04-16 08:55:00 | ichi_crossover_price_kiusen_result_enum.Przeciecie_do_gory ,1776327600000 , 2026-04-16 08:20:00 | ichi_crossover_price_senokuspan_result_enum.Przeciecie_do_gory ,1776329100000 , 2026-04-16 08:45:00 ; S: BRAK",BRAK,BRAK,BRAK,BRAK
2026-04-16,18:55:00,2026-04-16 18:55:00,SCENARIO_SIGNAL,Boczny (INCREASING) 1776365700000,BRAK,Wzrost_przeciecie,"K: ichi_crossover_tenkansen_kiusen_result_enum.Przeciecie_do_gory ,1776329700000 , 2026-04-16 08:55:00 | ichi_crossover_price_kiusen_result_enum.Przeciecie_do_gory ,1776327600000 , 2026-04-16 08:20:00 | ichi_crossover_price_senokuspan_result_enum.Przeciecie_do_gory ,1776329100000 , 2026-04-16 08:45:00 ; S: BRAK",BRAK,BRAK,BRAK,BRAK
2026-04-16,19:00:00,2026-04-16 19:00:00,INDICATOR_MCAD,Boczny (INCREASING) 1776366000000,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-04-16,19:00:00,2026-04-16 19:00:00,INDICATOR_ICHIMOKU,Boczny (INCREASING) 1776366000000,BRAK,Wzrost_przeciecie,"K: ichi_crossover_tenkansen_kiusen_result_enum.Przeciecie_do_gory ,1776329700000 , 2026-04-16 08:55:00 | ichi_crossover_price_kiusen_result_enum.Przeciecie_do_gory ,1776327600000 , 2026-04-16 08:20:00 | ichi_crossover_price_senokuspan_result_enum.Przeciecie_do_gory ,1776329100000 , 2026-04-16 08:45:00 ; S: BRAK",BRAK,BRAK,BRAK,BRAK
2026-04-16,19:00:00,2026-04-16 19:00:00,SCENARIO_SIGNAL,Boczny (INCREASING) 1776366000000,BRAK,Wzrost_przeciecie,"K: ichi_crossover_tenkansen_kiusen_result_enum.Przeciecie_do_gory ,1776329700000 , 2026-04-16 08:55:00 | ichi_crossover_price_kiusen_result_enum.Przeciecie_do_gory ,1776327600000 , 2026-04-16 08:20:00 | ichi_crossover_price_senokuspan_result_enum.Przeciecie_do_gory ,1776329100000 , 2026-04-16 08:45:00 ; S: BRAK",BRAK,BRAK,BRAK,BRAK
2026-04-16,19:00:00,2026-04-16 19:00:00,INDICATOR_MCAD,Boczny (INCREASING) 1776366000000,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-04-16,19:00:00,2026-04-16 19:00:00,INDICATOR_ICHIMOKU,Boczny (INCREASING) 1776366000000,BRAK,Wzrost_przeciecie,"K: ichi_crossover_tenkansen_kiusen_result_enum.Przeciecie_do_gory ,1776329700000 , 2026-04-16 08:55:00 | ichi_crossover_price_kiusen_result_enum.Przeciecie_do_gory ,1776327600000 , 2026-04-16 08:20:00 | ichi_crossover_price_senokuspan_result_enum.Przeciecie_do_gory ,1776329100000 , 2026-04-16 08:45:00 ; S: BRAK",BRAK,BRAK,BRAK,BRAK
2026-04-16,19:00:00,2026-04-16 19:00:00,SCENARIO_SIGNAL,Boczny (INCREASING) 1776366000000,BRAK,Wzrost_przeciecie,"K: ichi_crossover_tenkansen_kiusen_result_enum.Przeciecie_do_gory ,1776329700000 , 2026-04-16 08:55:00 | ichi_crossover_price_kiusen_result_enum.Przeciecie_do_gory ,1776327600000 , 2026-04-16 08:20:00 | ichi_crossover_price_senokuspan_result_enum.Przeciecie_do_gory ,1776329100000 , 2026-04-16 08:45:00 ; S: BRAK",BRAK,BRAK,BRAK,BRAK
2026-04-16,19:05:00,2026-04-16 19:05:00,INDICATOR_MCAD,Boczny (INCREASING) 1776366300000,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-04-16,19:05:00,2026-04-16 19:05:00,INDICATOR_ICHIMOKU,Boczny (INCREASING) 1776366300000,BRAK,Wzrost_przeciecie,"K: ichi_crossover_tenkansen_kiusen_result_enum.Przeciecie_do_gory ,1776329700000 , 2026-04-16 08:55:00 | ichi_crossover_price_kiusen_result_enum.Przeciecie_do_gory ,1776327600000 , 2026-04-16 08:20:00 | ichi_crossover_price_senokuspan_result_enum.Przeciecie_do_gory ,1776329100000 , 2026-04-16 08:45:00 ; S: BRAK",BRAK,BRAK,BRAK,BRAK
2026-04-16,19:05:00,2026-04-16 19:05:00,SCENARIO_SIGNAL,Boczny (INCREASING) 1776366300000,BRAK,Wzrost_przeciecie,"K: ichi_crossover_tenkansen_kiusen_result_enum.Przeciecie_do_gory ,1776329700000 , 2026-04-16 08:55:00 | ichi_crossover_price_kiusen_result_enum.Przeciecie_do_gory ,1776327600000 , 2026-04-16 08:20:00 | ichi_crossover_price_senokuspan_result_enum.Przeciecie_do_gory ,1776329100000 , 2026-04-16 08:45:00 ; S: BRAK",BRAK,BRAK,BRAK,BRAK
2026-04-16,19:05:00,2026-04-16 19:05:00,INDICATOR_MCAD,Boczny (INCREASING) 1776366300000,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-04-16,19:05:00,2026-04-16 19:05:00,INDICATOR_ICHIMOKU,Boczny (INCREASING) 1776366300000,BRAK,Wzrost_przeciecie,"K: ichi_crossover_tenkansen_kiusen_result_enum.Przeciecie_do_gory ,1776329700000 , 2026-04-16 08:55:00 | ichi_crossover_price_kiusen_result_enum.Przeciecie_do_gory ,1776327600000 , 2026-04-16 08:20:00 | ichi_crossover_price_senokuspan_result_enum.Przeciecie_do_gory ,1776329100000 , 2026-04-16 08:45:00 ; S: BRAK",BRAK,BRAK,BRAK,BRAK
2026-04-16,19:05:00,2026-04-16 19:05:00,SCENARIO_SIGNAL,Boczny (INCREASING) 1776366300000,BRAK,Wzrost_przeciecie,"K: ichi_crossover_tenkansen_kiusen_result_enum.Przeciecie_do_gory ,1776329700000 , 2026-04-16 08:55:00 | ichi_crossover_price_kiusen_result_enum.Przeciecie_do_gory ,1776327600000 , 2026-04-16 08:20:00 | ichi_crossover_price_senokuspan_result_enum.Przeciecie_do_gory ,1776329100000 , 2026-04-16 08:45:00 ; S: BRAK",BRAK,BRAK,BRAK,BRAK
2026-04-16,19:10:00,2026-04-16 19:10:00,INDICATOR_MCAD,Boczny (INCREASING) 1776366600000,BRAK,Wzrost_przeciecie,BRAK,BRAK,BRAK,BRAK,BRAK
2026-04-16,19:10:00,2026-04-16 19:10:00,INDICATOR_ICHIMOKU,Boczny (INCREASING) 1776366600000,BRAK,Wzrost_przeciecie,"K: ichi_crossover_tenkansen_kiusen_result_enum.Przeciecie_do_gory ,1776329700000 , 2026-04-16 08:55:00 | ichi_crossover_price_kiusen_result_enum.Przeciecie_do_gory ,1776327600000 , 2026-04-16 08:20:00 | ichi_crossover_price_senokuspan_result_enum.Przeciecie_do_gory ,1776329100000 , 2026-04-16 08:45:00 ; S: BRAK",BRAK,BRAK,BRAK,BRAK
