ZAMKNIECIE SCENARIUSZ | symbol=JP225 | data_godzina=2026-05-13 11:12:09 | typ=BUY | numer_scenariusza=C1 | godzina_brokera=2026-05-13 12:05:00
ZAMKNIECIE SCENARIUSZ | symbol=JP225 | data_godzina=2026-05-13 15:06:11 | typ=SELL | numer_scenariusza=C92 | godzina_brokera=2026-05-13 16:00:00
ZAMKNIECIE SCENARIUSZ | symbol=JP225 | data_godzina=2026-05-13 15:57:05 | typ=SELL | numer_scenariusza=C5 | godzina_brokera=2026-05-13 16:50:00
ZAMKNIECIE SCENARIUSZ | symbol=JP225 | data_godzina=2026-05-14 19:22:30 | typ=SELL | numer_scenariusza=C90 | godzina_brokera=2026-05-14 20:15:00
ZAMKNIECIE SCENARIUSZ | symbol=JP225 | data_godzina=2026-05-14 21:11:49 | typ=BUY | numer_scenariusza=C90 | godzina_brokera=2026-05-14 22:05:00
ZAMKNIECIE SCENARIUSZ | symbol=JP225 | data_godzina=2026-05-14 22:05:10 | typ=BUY | numer_scenariusza=C90 | godzina_brokera=2026-05-14 23:00:00
ZAMKNIECIE SCENARIUSZ | symbol=JP225 | data_godzina=2026-05-15 01:40:49 | typ=BUY | numer_scenariusza=C90 | godzina_brokera=2026-05-15 02:35:00
ZAMKNIECIE SCENARIUSZ | symbol=JP225 | data_godzina=2026-05-15 02:41:49 | typ=SELL | numer_scenariusza=C90 | godzina_brokera=2026-05-15 03:35:00
ZAMKNIECIE SCENARIUSZ | symbol=JP225 | data_godzina=2026-05-15 03:55:47 | typ=SELL | numer_scenariusza=C90 | godzina_brokera=2026-05-15 04:50:00
ZAMKNIECIE SCENARIUSZ | symbol=JP225 | data_godzina=2026-05-15 09:15:52 | typ=BUY | numer_scenariusza=C90 | godzina_brokera=2026-05-15 10:10:00
ZAMKNIECIE SCENARIUSZ | symbol=JP225 | data_godzina=2026-05-15 12:17:05 | typ=BUY | numer_scenariusza=C90 | godzina_brokera=2026-05-15 13:10:00
ZAMKNIECIE SCENARIUSZ | symbol=JP225 | data_godzina=2026-05-15 14:16:43 | typ=BUY | numer_scenariusza=C3 | godzina_brokera=2026-05-15 15:10:00
