ZAMKNIECIE SCENARIUSZ | symbol=US30 | data_godzina=2026-05-13 01:07:04 | typ=BUY | numer_scenariusza=C3 | godzina_brokera=2026-05-13 02:00:00
ZAMKNIECIE SCENARIUSZ | symbol=US30 | data_godzina=2026-05-13 04:50:50 | typ=BUY | numer_scenariusza=C3 | godzina_brokera=2026-05-13 05:45:00
ZAMKNIECIE SCENARIUSZ | symbol=US30 | data_godzina=2026-05-13 05:41:41 | typ=SELL | numer_scenariusza=C90 | godzina_brokera=2026-05-13 06:35:00
ZAMKNIECIE SCENARIUSZ | symbol=US30 | data_godzina=2026-05-13 08:26:53 | typ=BUY | numer_scenariusza=C2 | godzina_brokera=2026-05-13 09:20:00
ZAMKNIECIE SCENARIUSZ | symbol=US30 | data_godzina=2026-05-13 12:20:51 | typ=SELL | numer_scenariusza=C92 | godzina_brokera=2026-05-13 13:15:00
ZAMKNIECIE SCENARIUSZ | symbol=US30 | data_godzina=2026-05-13 17:06:34 | typ=SELL | numer_scenariusza=C92 | godzina_brokera=2026-05-13 18:00:00
ZAMKNIECIE SCENARIUSZ | symbol=US30 | data_godzina=2026-05-13 17:32:05 | typ=SELL | numer_scenariusza=C92 | godzina_brokera=2026-05-13 18:25:00
ZAMKNIECIE SCENARIUSZ | symbol=US30 | data_godzina=2026-05-14 19:55:31 | typ=SELL | numer_scenariusza=C92 | godzina_brokera=2026-05-14 20:50:00
ZAMKNIECIE SCENARIUSZ | symbol=US30 | data_godzina=2026-05-14 20:05:42 | typ=SELL | numer_scenariusza=C90 | godzina_brokera=2026-05-14 21:00:00
ZAMKNIECIE SCENARIUSZ | symbol=US30 | data_godzina=2026-05-15 05:27:12 | typ=BUY | numer_scenariusza=C90 | godzina_brokera=2026-05-15 06:20:00
ZAMKNIECIE SCENARIUSZ | symbol=US30 | data_godzina=2026-05-15 14:16:41 | typ=SELL | numer_scenariusza=C90 | godzina_brokera=2026-05-15 15:10:00
ZAMKNIECIE SCENARIUSZ | symbol=US30 | data_godzina=2026-05-15 16:41:38 | typ=SELL | numer_scenariusza=C5 | godzina_brokera=2026-05-15 17:35:00
ZAMKNIECIE SCENARIUSZ | symbol=US30 | data_godzina=2026-05-15 17:40:19 | typ=SELL | numer_scenariusza=C90 | godzina_brokera=2026-05-15 18:35:00
